FacilityID,FacilityType,Longitude,Latitude,Builtyear,Spannumber,Spanlength_m,Structurelength_m,Deckwidth_m,Skew_deg,Facility_Description,NBIclass,HAZUSclass,Customclass,Vs30,Rhypo,im,State,Repair_Cost,RepairTime
06_55 0904,Bridge,-117.958725,33.84500278,2002,2,57.2,97.8,41.5,38,2-span;38.0 deg skew;97.8 m structure Length;57.2 m Max Span Length; Built 2002;NBI 605,605,HWB23,Unknown,760,7.363485964,358.5672995,No Damage,0,5
06_55 0922S,Bridge,-117.8350722,33.83471944,2002,2,31,60.3,15.5,2,2-span;2.0 deg skew;60.3 m structure Length;31 m Max Span Length; Built 2002;NBI 205,205,HWB11,Unknown,760,13.37123589,110.2959205,No Damage,0,5
06_55 0923,Bridge,-117.8323194,33.82295,2002,2,27.9,55.8,37.2,1,2-span;1.0 deg skew;55.8 m structure Length;27.9 m Max Span Length; Built 2002;NBI 605,605,HWB23,Unknown,760,14.24518034,96.3659905,No Damage,0,5
06_53C0149,Bridge,-118.0167306,33.87721389,1950,3,12.5,26.8,10.3,0,3-span;0.0 deg skew;26.8 m structure Length;12.5 m Max Span Length; Built 1950;NBI 201,201,HWB10,MCRC-Slab,760,8.156089165,298.349595,No Damage,0,5
06_55 0925S,Bridge,-117.8315028,33.81005833,2002,4,18.6,56.5,10.4,7,4-span;7.0 deg skew;56.5 m structure Length;18.6 m Max Span Length; Built 2002;NBI 605,605,HWB23,Unknown,760,15.13188966,84.70582694,No Damage,0,5
06_55 0927,Bridge,-117.8313028,33.79430833,2002,2,35.6,71.2,15.6,99,2-span;99.0 deg skew;71.2 m structure Length;35.6 m Max Span Length; Built 2002;NBI 605,605,HWB23,Unknown,760,16.27198306,72.56628296,No Damage,0,5
06_55 0960S,Bridge,-117.8874083,33.79,2000,3,61,167,12.6,49,3-span;49.0 deg skew;167.0 m structure Length;61 m Max Span Length; Built 2000;NBI 606,606,HWB2,Unknown,760,13.75433869,103.8541749,No Damage,0,5
06_55 1058E,Bridge,-117.8964917,33.79958333,2000,3,21.3,49.4,33,0,3-span;0.0 deg skew;49.4 m structure Length;21.3 m Max Span Length; Built 2000;NBI 605,605,HWB23,Unknown,760,12.52885601,126.6155192,No Damage,0,5
06_55 1064,Bridge,-117.79065,33.86303333,2010,3,37,91.8,45.2,0,3-span;0.0 deg skew;91.8 m structure Length;37 m Max Span Length; Built 2010;NBI 605,605,HWB23,Unknown,760,15.85428498,76.68980298,No Damage,0,5
06_55 1069,Bridge,-117.9936667,33.86349444,2010,2,40.2,76.6,25.8,33,2-span;33.0 deg skew;76.6 m structure Length;40.2 m Max Span Length; Built 2010;NBI 205,205,HWB11,Unknown,760,7.235267468,369.7270174,No Damage,0,5
06_55 0843,Bridge,-117.9464389,33.83796389,2000,4,70.8,256.5,11.4,99,4-span;99.0 deg skew;256.5 m structure Length;70.8 m Max Span Length; Built 2000;NBI 605,605,HWB2,Unknown,760,7.909530084,315.5873311,No Damage,0,5
06_55 0842,Bridge,-117.9411278,33.83474722,2000,3,50.4,139.2,42.7,43,3-span;43.0 deg skew;139.2 m structure Length;50.4 m Max Span Length; Built 2000;NBI 605,605,HWB23,Unknown,760,8.221435712,293.9857607,No Damage,0,5
06_55 0841,Bridge,-117.9388833,33.83446111,2000,4,54.9,168.5,12,99,4-span;99.0 deg skew;168.5 m structure Length;54.9 m Max Span Length; Built 2000;NBI 606,606,HWB2,Unknown,760,8.268697585,290.8809325,No Damage,0,5
06_55 0840S,Bridge,-117.9033028,33.805075,2000,3,45.7,112.8,12,99,3-span;99.0 deg skew;112.8 m structure Length;45.7 m Max Span Length; Built 2000;NBI 606,606,HWB23,Unknown,760,11.78491131,143.9936369,No Damage,0,5
06_55 0604,Bridge,-117.8094111,33.85361389,1970,3,2.4,8.5,48.5,22,3-span;22.0 deg skew;8.5 m structure Length;2.4 m Max Span Length; Built 1970;NBI 219,219,HWB10,Unknown,760,14.54779693,92.13493118,No Damage,0,5
06_55 0605,Bridge,-117.7861722,33.85572222,1970,3,2.4,7.9,59.3,0,3-span;0.0 deg skew;7.9 m structure Length;2.4 m Max Span Length; Built 1970;NBI 219,219,HWB10,Unknown,760,16.42437691,71.14562169,No Damage,0,5
06_55 0606,Bridge,-117.7801889,33.85865278,1970,3,3.7,11.3,54.4,0,3-span;0.0 deg skew;11.3 m structure Length;3.7 m Max Span Length; Built 1970;NBI 219,219,HWB10,Unknown,760,16.85603348,67.34574143,No Damage,0,5
06_55 0670,Bridge,-117.9195222,33.81795833,1990,7,47.5,251.8,36.3,41,7-span;41.0 deg skew;251.8 m structure Length;47.5 m Max Span Length; Built 1990;NBI 605,605,HWB2,Unknown,760,10.11736194,196.8945849,No Damage,0,5
06_55 0713R,Bridge,-117.8272306,33.84429167,1994,1,25.1,25.1,15.6,45,1-span;45.0 deg skew;25.1 m structure Length;25.1 m Max Span Length; Built 1994;NBI 101,101,HWB4,MSRC-Slab,760,13.48858014,108.2633245,No Damage,0,5
06_55 0714,Bridge,-117.8278417,33.84414167,1994,5,37.5,187.5,15.1,99,5-span;99.0 deg skew;187.5 m structure Length;37.5 m Max Span Length; Built 1994;NBI 605,605,HWB2,Unknown,760,13.44810802,108.9582673,No Damage,0,5
06_55 0814,Bridge,-117.8896222,33.79202778,2000,2,45.7,80.5,88.5,32,2-span;32.0 deg skew;80.5 m structure Length;45.7 m Max Span Length; Built 2000;NBI 205,205,HWB11,Unknown,760,13.48184767,108.3784861,No Damage,0,5
06_55 0815K,Bridge,-117.8935361,33.79418333,2000,6,56.4,319.8,10.8,0,6-span;0.0 deg skew;319.8 m structure Length;56.4 m Max Span Length; Built 2000;NBI 605,605,HWB2,Unknown,760,13.1362788,114.5328099,No Damage,0,5
06_55 0816,Bridge,-117.8939083,33.79593889,2000,2,37.4,66.4,91.5,41,2-span;41.0 deg skew;66.4 m structure Length;37.4 m Max Span Length; Built 2000;NBI 205,205,HWB11,Unknown,760,12.95970941,117.8707592,No Damage,0,5
06_55 0818L,Bridge,-117.8995667,33.79958056,2000,2,53.9,102,33,41,2-span;41.0 deg skew;102.0 m structure Length;53.9 m Max Span Length; Built 2000;NBI 605,605,HWB23,Unknown,760,12.42075644,128.9522862,No Damage,0,5
06_55 0818R,Bridge,-117.8980111,33.79956667,2000,2,61.3,97,33,41,2-span;41.0 deg skew;97.0 m structure Length;61.3 m Max Span Length; Built 2000;NBI 605,605,HWB23,Unknown,760,12.47616667,127.7470119,No Damage,0,5
06_55 0819S,Bridge,-117.8988444,33.80126944,2000,3,51.5,118.6,12,99,3-span;99.0 deg skew;118.6 m structure Length;51.5 m Max Span Length; Built 2000;NBI 606,606,HWB23,Unknown,760,12.28935059,131.8749704,No Damage,0,5
06_55 0820,Bridge,-117.9013,33.80313889,2000,2,35.1,69.1,95.9,45,2-span;45.0 deg skew;69.1 m structure Length;35.1 m Max Span Length; Built 2000;NBI 605,605,HWB23,Unknown,760,12.03146697,137.8854134,No Damage,0,5
06_55 0820J,Bridge,-117.9030667,33.80293889,2000,3,53.3,130.7,15.7,99,3-span;99.0 deg skew;130.7 m structure Length;53.3 m Max Span Length; Built 2000;NBI 605,605,HWB23,Unknown,760,11.9905502,138.8739099,No Damage,0,5
06_55 0820K,Bridge,-117.902525,33.80273611,2000,12,61,651.8,10.8,0,12-span;0.0 deg skew;651.8 m structure Length;61 m Max Span Length; Built 2000;NBI 605,605,HWB2,Unknown,760,12.02737325,137.9838717,No Damage,0,5
06_55 0821,Bridge,-117.9059,33.80690278,2000,2,37.6,70.1,79.6,42,2-span;42.0 deg skew;70.1 m structure Length;37.6 m Max Span Length; Built 2000;NBI 605,605,HWB23,Unknown,760,11.53074336,150.688933,No Damage,0,5
06_55 0829,Bridge,-117.9760111,33.85429444,2000,2,67.4,134.7,36,43,2-span;43.0 deg skew;134.7 m structure Length;67.4 m Max Span Length; Built 2000;NBI 605,605,HWB23,Unknown,760,7.035614319,387.998817,No Damage,0,5
06_55 0830G,Bridge,-117.9750917,33.85504722,2002,15,68.6,888.5,13,99,15-span;99.0 deg skew;888.5 m structure Length;68.6 m Max Span Length; Built 2002;NBI 605,605,HWB2,Unknown,760,6.955484327,395.6536935,No Damage,0,5
06_55 0831F,Bridge,-117.9858444,33.85879167,2002,17,70.1,981.5,13,99,17-span;99.0 deg skew;981.5 m structure Length;70.1 m Max Span Length; Built 2002;NBI 605,605,HWB2,Unknown,760,7.120319763,380.1098375,No Damage,0,5
06_55 0832F,Bridge,-117.9773167,33.85815,2000,3,43.6,125,13,30,3-span;30.0 deg skew;125.0 m structure Length;43.6 m Max Span Length; Built 2000;NBI 605,605,HWB23,Unknown,760,6.825996766,408.4324836,No Damage,0,5
06_55 0833F,Bridge,-117.9803139,33.85746111,2000,2,58.5,117,13,30,2-span;30.0 deg skew;117.0 m structure Length;58.5 m Max Span Length; Built 2000;NBI 605,605,HWB23,Unknown,760,6.977697306,393.5126479,No Damage,0,5
06_55 0834R,Bridge,-117.9787222,33.85667222,2000,2,51.5,94.3,27.6,55,2-span;55.0 deg skew;94.3 m structure Length;51.5 m Max Span Length; Built 2000;NBI 605,605,HWB23,Unknown,760,6.969733301,394.2785844,No Damage,0,5
06_55 0835H,Bridge,-117.9826167,33.85715833,2000,3,55.2,141,23.6,99,3-span;99.0 deg skew;141.0 m structure Length;55.2 m Max Span Length; Built 2000;NBI 605,605,HWB23,Unknown,760,7.085732476,383.3062865,No Damage,0,5
06_55 0836,Bridge,-117.9867472,33.85894722,2003,3,98.7,270.4,30.2,62,3-span;62.0 deg skew;270.4 m structure Length;98.7 m Max Span Length; Built 2003;NBI 605,605,HWB2,Unknown,760,7.150713841,377.3287985,No Damage,0,5
06_55 0837S,Bridge,-117.922625,33.82186111,2000,3,60.1,151.3,10.8,99,3-span;99.0 deg skew;151.3 m structure Length;60.1 m Max Span Length; Built 2000;NBI 606,606,HWB2,Unknown,760,9.684885765,214.7998062,No Damage,0,5
06_55C0703,Bridge,-117.9080556,33.87222222,1964,1,8.5,9.8,18.2,60,1-span;60.0 deg skew;9.8 m structure Length;8.5 m Max Span Length; Built 1964;NBI 119,119,HWB3,Unknown,760,6.710790892,420.2432515,No Damage,0,5
