,FacilityID,FacilityType,Longitude,Latitude,Builtyear,Spannumber,Spanlength_m,Structurelength_m,Deckwidth_m,Skew_deg,Facility_Description,NBIclass,HAZUSclass,Customclass,Vs30,Rhypo,im,State,Repair_Cost,RepairTime,exists_in_netfile
36,06_55C0355,Bridge,-117.8774111,33.85973333,1969,3,3.0,9.4,5.9,0,3-span;0.0 deg skew;9.4 m structure Length;3 m Max Span Length; Built 1969;NBI 119,119,HWB5,Unknown,760,9.114670373,241.8633037,Slight,2173.183962,5,1
37,06_55C0068,Bridge,-117.88331670000001,33.85849444,1970,3,3.4,11.0,31.1,14,3-span;14.0 deg skew;11.0 m structure Length;3.4 m Max Span Length; Built 1970;NBI 119,119,HWB5,Unknown,760,8.783500175,259.6632591,Slight,12853.36055,6,1
38,06_55C0017,Bridge,-117.863925,33.83544167,1970,6,23.8,130.1,31.6,8,6-span;8.0 deg skew;130.1 m structure Length;23.8 m Max Span Length; Built 1970;NBI 104,104,HWB5,Unknown,760,11.33682846,156.0882284,Slight,178380.0852,4,1
39,06_55 0427,Bridge,-117.83203059999998,33.84756667,1967,2,41.1,84.1,14.3,34,2-span;34.0 deg skew;84.1 m structure Length;41.1 m Max Span Length; Built 1967;NBI 302,302,HWB12,MSSTEEL,760,12.97337841,117.60746129999998,Slight,49700.38765,5,1
40,06_55C0684,Bridge,-117.7938111,33.83079722,1993,1,53.3,54.3,29.3,22,1-span;22.0 deg skew;54.3 m structure Length;53.3 m Max Span Length; Built 1993;NBI 106,106,HWB4,Unknown,760,16.72455124,68.46935039,No Damage,0.0,0,0
41,06_55C0231,Bridge,-117.98078059999999,33.86626667,1958,1,18.0,18.3,20.1,42,1-span;42.0 deg skew;18.3 m structure Length;18 m Max Span Length; Built 1958;NBI 501,501,HWB3,Unknown,760,6.4922884739999995,443.85136330000006,No Damage,0.0,0,0
42,06_55C0233,Bridge,-117.96804440000001,33.86831389,1958,1,9.4,9.8,15.2,0,1-span;0.0 deg skew;9.8 m structure Length;9.4 m Max Span Length; Built 1958;NBI 501,501,HWB3,Unknown,760,5.954386133,509.47290710000004,No Damage,0.0,0,1
43,06_55C0234,Bridge,-117.95059440000001,33.86831667,1961,1,14.6,15.2,14.9,23,1-span;23.0 deg skew;15.2 m structure Length;14.6 m Max Span Length; Built 1961;NBI 501,501,HWB3,Unknown,760,5.7055844879999995,543.9126213999999,No Damage,0.0,0,0
44,06_55C0229,Bridge,-117.92214440000001,33.87739167,1939,1,10.7,11.0,11.6,30,1-span;30.0 deg skew;11.0 m structure Length;10.7 m Max Span Length; Built 1939;NBI 104,104,HWB3,Unknown,760,5.867635894,521.164325,No Damage,0.0,0,0
45,06_55C0587,Bridge,-117.8537611,33.86793611,1990,1,13.1,13.4,19.2,0,1-span;0.0 deg skew;13.4 m structure Length;13.1 m Max Span Length; Built 1990;NBI 501,501,HWB4,Unknown,760,10.53595443,181.41588480000001,No Damage,0.0,0,0
46,06_55C0236,Bridge,-117.94361940000002,33.865175,1958,1,8.2,8.5,15.8,0,1-span;0.0 deg skew;8.5 m structure Length;8.2 m Max Span Length; Built 1958;NBI 501,501,HWB3,Unknown,760,5.906587142999999,515.8739247,No Damage,0.0,0,0
47,06_55C0242,Bridge,-117.93695559999999,33.86293611,1958,1,8.2,8.5,13.4,17,1-span;17.0 deg skew;8.5 m structure Length;8.2 m Max Span Length; Built 1958;NBI 501,501,HWB3,Unknown,760,6.127462489,487.10846349999997,No Damage,0.0,0,0
48,06_55C0226,Bridge,-117.9308306,33.87396667,1922,1,11.3,11.9,12.5,0,1-span;0.0 deg skew;11.9 m structure Length;11.3 m Max Span Length; Built 1922;NBI 101,101,HWB3,MSRC-Slab,760,5.699198555,544.834083,No Damage,0.0,0,0
49,06_55C0244,Bridge,-117.92643329999999,33.86300833,1963,1,10.7,11.0,14.0,0,1-span;0.0 deg skew;11.0 m structure Length;10.7 m Max Span Length; Built 1963;NBI 501,501,HWB3,Unknown,760,6.379520788,456.6884337,No Damage,0.0,0,0
50,06_55C0271,Bridge,-118.0107222,33.82151111,1959,1,10.4,11.0,23.5,0,1-span;0.0 deg skew;11.0 m structure Length;10.4 m Max Span Length; Built 1959;NBI 501,501,HWB3,Unknown,760,10.95939013,167.3819445,No Damage,0.0,0,0
51,06_55C0272,Bridge,-118.00205559999999,33.82411389,1959,1,10.7,11.0,18.9,21,1-span;21.0 deg skew;11.0 m structure Length;10.7 m Max Span Length; Built 1959;NBI 501,501,HWB3,Unknown,760,10.35333194,187.9602198,No Damage,0.0,0,0
52,06_55C0273,Bridge,-118.0008639,33.82460556,1959,1,16.3,17.6,21.6,68,1-span;68.0 deg skew;17.6 m structure Length;16.3 m Max Span Length; Built 1959;NBI 119,119,HWB3,Unknown,760,10.26168337,191.3643644,No Damage,0.0,0,0
53,06_55C0274,Bridge,-117.98463329999998,33.83000833,1959,1,10.4,11.0,18.9,0,1-span;0.0 deg skew;11.0 m structure Length;10.4 m Max Span Length; Built 1959;NBI 501,501,HWB3,Unknown,760,9.196292891,237.7236662,No Damage,0.0,0,0
54,06_55C0275,Bridge,-117.9759028,33.83461944,1959,1,13.6,14.4,31.1,40,1-span;40.0 deg skew;14.4 m structure Length;13.6 m Max Span Length; Built 1959;NBI 501,501,HWB3,Unknown,760,8.548665111,273.33395299999995,No Damage,0.0,0,0
55,06_55C0675,Bridge,-117.9241111,33.81406944,2000,2,36.2,55.8,12.0,0,2-span;0.0 deg skew;55.8 m structure Length;36.2 m Max Span Length; Built 2000;NBI 605,605,HWB23,Unknown,760,10.37278181,187.2482644,No Damage,0.0,0,0
